Kiribati,KIR,153275912.7,196150061.3
St. Kitts and Nevis,KNA,705015370.4,945854481.5
"Korea, Rep.",KOR,1.0945E+12,1.53075E+12
Kuwait,KWT,1.15419E+11,1.20126E+11
Latin America & Caribbean (excluding high income),LAC,4.47479E+12,4.72305E+12
Lao PDR,LAO,7127792630,16853079615
Lebanon,LBN,38419626628,51844487742
Liberia,LBR,1292697100,2158000000
Libya,LBY,74773444901,50984362478
St. Lucia,LCA,1381968259,1712306556
Latin America & Caribbean,LCN,5.34099E+12,5.95467E+12
Least developed countries: UN classification,LDC,6.61535E+11,1.06264E+12
Low income,LIC,3.84821E+11,5.49654E+11
Liechtenstein,LIE,5082366478,5082366478
Sri Lanka,LKA,56728002830,87174682200
Lower middle income,LMC,4.49146E+12,6.50416E+12
Low & middle income,LMY,2.02418E+13,2.92368E+13
Lesotho,LSO,2385950664,2639386291
Late-demographic dividend,LTE,1.35146E+13,2.04529E+13
Lithuania,LTU,37120517694,47168303744
Luxembourg,LUX,53212476812,62404461275
Latvia,LVA,23757368290,30264454642
"Macao SAR, China",MAC,28123640999,50361201096
St. Martin (French part),MAF,,
Morocco,MAR,93216746662,1.09139E+11
Monaco,MCO,5350674803,5350674803
Moldova,MDA,5811604052,8128493432
Madagascar,MDG,8729936136,11499803807
Maldives,MDV,2588176055,4597083304
Middle East & North Africa,MEA,2.76787E+12,3.26575E+12
Mexico,MEX,1.0578E+12,1.14992E+12
Marshall Islands,MHL,164969100,199399247.1
Middle income,MIC,1.98539E+13,2.86827E+13
"Macedonia, FYR",MKD,9407168702,11337827332
Mali,MLI,10678749467,15288163367
Malta,MLT,8741059603,12537750732
Myanmar,MMR,49540813342,69322122756
Middle East & North Africa (excluding high income),MNA,1.38352E+12,1.43175E+12
Montenegro,MNE,4139192053,4774086094
Mongolia,MNG,7189481824,11488046881
Northern Mariana Islands,MNP,799000000,799000000
Mozambique,MOZ,10154238250,12333859926
Mauritania,MRT,4343665075,5024705934
Mauritius,MUS,10003670690,13338147523
Malawi,MWI,6959697194,6303277591
Malaysia,MYS,2.55017E+11,3.145E+11
North America,NAC,1.65836E+13,2.105E+13
Namibia,NAM,11282192605,13244597345
New Caledonia,NCL,,
Niger,NER,5718589799,8119732793
Nigeria,NGA,3.69062E+11,3.75771E+11
Nicaragua,NIC,8758622329,13814261536
Netherlands,NLD,8.3639E+11,8.262E+11
Norway,NOR,4.29131E+11,3.98832E+11
Nepal,NPL,16002656434,24472013234
Nauru,NRU,49248810.57,113884908.4
New Zealand,NZL,1.46584E+11,2.05853E+11
OECD members,OED,4.46473E+13,4.96264E+13
Oman,OMN,58642392718,72642652796
Other small states,OSS,3.23946E+11,4.02189E+11
Pakistan,PAK,1.77407E+11,3.04952E+11
Panama,PAN,29440287600,61838175800
Peru,PER,1.47529E+11,2.11389E+11
Philippines,PHL,1.99591E+11,3.13595E+11
Palau,PLW,182843800,291544300
Papua New Guinea,PNG,14250726290,21088758485
Poland,POL,4.79321E+11,5.2451E+11
Pre-demographic dividend,PRE,1.01135E+12,1.29707E+12
Puerto Rico,PRI,98381268000,98381268000
"Korea, Dem. People’s Rep.",PRK,,
Portugal,PRT,2.38303E+11,2.17571E+11
Paraguay,PRY,20030528043,29734895249
West Bank and Gaza,PSE,8913100000,14498100000
Pacific island small states,PSS,6413682686,9687357499
Post-demographic dividend,PST,4.24109E+13,4.7087E+13
French Polynesia,PYF,,
Qatar,QAT,1.25122E+11,1.67605E+11
Romania,ROU,1.66658E+11,2.11803E+11
Russian Federation,RUS,1.52492E+12,1.57752E+12
Rwanda,RWA,5773084568,9136689514
South Asia,SAS,2.04214E+12,3.29174E+12
Saudi Arabia,SAU,5.28207E+11,6.83827E+11
Sudan,SDN,65634109237,1.17488E+11
Senegal,SEN,12948906289,16374743753
Singapore,SGP,2.36422E+11,3.23907E+11
Solomon Islands,SLB,681151190,1303453616
Sierra Leone,SLE,2578026297,3774270392
El Salvador,SLV,18447922400,24805439600
San Marino,SMR,2139072848,1658778454
Somalia,SOM,,7368560695
Serbia,SRB,39460357731,41431648801
Sub-Saharan Africa (excluding high income),SSA,1.36331E+12,1.64723E+12
South Sudan,SSD,,
Sub-Saharan Africa,SSF,1.36427E+12,1.64871E+12
Small states,SST,3.93491E+11,4.81208E+11
Sao Tome and Principe,STP,197454053.1,390871568.6
Suriname,SUR,4368398048,3324385325
Slovak Republic,SVK,89501012916,95769031980
Slovenia,SVN,48013606745,48769655479
Sweden,SWE,4.88378E+11,5.3804E+11
Eswatini,SWZ,4438778424,4408564260
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,969936525.3,1485994387
Syrian Arab Republic,SYR,,
Turks and Caicos Islands,TCA,,
Chad,TCD,10657705536,9981303726
East Asia & Pacific (IDA & IBRD countries),TEA,7.86712E+12,1.4714E+13
Europe & Central Asia (IDA & IBRD countries),TEC,3.63443E+12,3.87986E+12
Togo,TGO,3172945645,4812554346
Thailand,THA,3.41105E+11,4.55221E+11
Tajikistan,TJK,5642178580,7145701019
Turkmenistan,TKM,22583157895,42355428571
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.14637E+12,5.70471E+12
Timor-Leste,TLS,3998696649,2954621000
Middle East & North Africa (IDA & IBRD countries),TMN,1.37462E+12,1.41701E+12
Tonga,TON,369485198.8,426057453.1
South Asia (IDA & IBRD),TSA,2.04214E+12,3.29174E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.36427E+12,1.64871E+12
Trinidad and Tobago,TTO,22157948396,22104775828
Tunisia,TUN,44050929160,40256675209
Turkey,TUR,7.71902E+11,8.51102E+11
Tuvalu,TUV,31823518.62,39731317.3
Tanzania,TZA,31407908612,52090320325
Uganda,UGA,20186496527,25891058946
Ukraine,UKR,1.36013E+11,1.12154E+11
Upper middle income,UMC,1.53624E+13,2.21684E+13
Uruguay,URY,40284481652,56156972158
United States,USA,1.49644E+13,1.93906E+13
Uzbekistan,UZB,39332770929,48717685984
St. Vincent and the Grenadines,VCT,681225963,789629629.6
"Venezuela, RB",VEN,3.93192E+11,3.93192E+11
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,4339000000,4339000000
Vietnam,VNM,1.15932E+11,2.23864E+11
Vanuatu,VUT,700804286.2,862879789.4
World,WLD,6.59567E+13,8.06838E+13
Samoa,WSM,643046733.4,856626506
Kosovo,XKX,5829933775,7128690557
"Yemen, Rep.",YEM,30906748941,30906748941
South Africa,ZAF,3.75298E+11,3.49419E+11
Zambia,ZMB,20265556274,25808666422
Zimbabwe,ZWE,10141859700,17845821400
